Mission,State,From,To,Run By,Lat,Lon,Wikipedia,Find & Connect
Kahlin Compound,NT,1913,1939,AIM – Aborigines Inland Mission,-12.45142,130.788202,,https://www.findandconnect.gov.au/entity/kahlin-compound-2/
Kalkaringi,NT,1971,1975,,17°26′54″S,130°49′59″E,https://en.wikipedia.org/wiki/Kalkarindji,https://www.findandconnect.gov.au/entity/wave-hill-welfare-settlement/
Katherine (Donkey Camp),NT,1941,,AIM – Aborigines Inland Mission,-14.4158219,132.2836173,,
Lajamanu (Hooker Creek),NT,1948,1978,,-18.3340891,130.5926231,,https://www.findandconnect.gov.au/entity/hooker-creek-native-settlement/
Little Flower Mission (Alice Springs),NT,1938,1942,RC (MSC) – Roman Catholic (Missionaries of the Sacred Heart),23°42′0″S,133°52′12″E,https://en.wikipedia.org/wiki/Little_Flower_Mission,https://www.findandconnect.gov.au/entity/little-flower-mission/
Milingimbi,NT,1925,1974,MTH – Methodist Overseas Mission,-12.0310958,134.9307047,,https://www.findandconnect.gov.au/entity/milingimbi-mission-3/
Newcastle Waters,NT,1940,1972,AIM – Aborigines Inland Mission,-17.3727397,133.3692744,,
Numbulwar,NT,1952,1978,CMS – Church Missionary Society,-14.2769551,135.679861,,https://www.findandconnect.gov.au/entity/rose-river-mission/
Oenpelli,NT,1924,1974,CMS – Church Missionary Society,-12.3319154,133.0005808,,https://www.findandconnect.gov.au/entity/oenpelli-mission/
Palmerston,NT,1963,1975,CMS – Church Missionary Society,-12.4506477,130.7884743,,https://www.findandconnect.gov.au/entity/palmerston-house/
Papunya,NT,1946,1978,L – Lutheran Church of Australia,-23.205248,131.8700745,,https://www.findandconnect.gov.au/entity/papunya-native-settlement/
Phillip Creek,NT,1936,1951,AIM – Aborigines Inland Mission,-19.2752444,134.0825037,,https://www.findandconnect.gov.au/entity/phillip-creek-native-settlement/
Port Essington,NT,1846,1849,RC – Roman Catholic,-11.150914,132.1487599,,
Port Keats,NT,1935,1978,RC (MSC) – Roman Catholic (Missionaries of the Sacred Heart),14°14′20″S,129°31′19″E,https://en.wikipedia.org/wiki/Wadeye,https://www.findandconnect.gov.au/entity/port-keats-mission/
Rapid Creek,NT,1882,1891,RC (J) – Roman Catholic (Jesuit),-12.3826219,130.8187682,,
Retta Dixon Home (Darwin),NT,1946,1980,AIM – Aborigines Inland Mission,12°24′55″S,130°51′21″E,https://en.wikipedia.org/wiki/Retta_Dixon_Home,https://www.findandconnect.gov.au/entity/retta-dixon-home/
Roper River,NT,1908,1988,CMS – Church Missionary Society,-14.9564773,133.1975347,,https://www.findandconnect.gov.au/entity/roper-river-mission-2/
Serpentine Lagoon,NT,1889,1891,RC (J) – Roman Catholic (Jesuit),,,,https://www.findandconnect.gov.au/entity/sacred-heart-mission/
St Mary's Hostel (Alice Springs),NT,1946,1972,CE – Church of England / AIM – Aborigines Inland Mission,,,,https://www.findandconnect.gov.au/entity/st-marys-hostel/
St Teresa,NT,1954,1977,RC (MSC) – Roman Catholic (Missionaries of the Sacred Heart),24.130391°S,134.374341°E,https://en.wikipedia.org/wiki/Ltyentye_Apurte_Community,https://www.findandconnect.gov.au/entity/santa-teresa-mission/
Tennant Creek,NT,1936,,RC – Roman Catholic,-19.695265,",134.1533999","https://en.wikipedia.org/wiki/Church_of_Christ_the_King,_Tennant_Creek",
Umbakumba (Groote Eylandt),NT,1958,1966,CMS – Church Missionary Society,-13.8616011,136.7705301,,https://www.findandconnect.gov.au/entity/umbakumba-mission/
Umbakumba Settlement,NT,1938,1958,,-13.8616011,136.7705301,,https://www.findandconnect.gov.au/entity/umbakumba-settlement/
Uniya (new),NT,1891,1899,,,,,
Uniya (old),NT,1886,1891,RC (J) – Roman Catholic (Jesuit),,,,https://www.findandconnect.gov.au/entity/queen-of-the-holy-rosary-mission/
Warrabri (Ali Curung),NT,1954,1978,BAP – Australian Baptist Missionary Society,-21.0044851,134.3637508,,https://www.findandconnect.gov.au/entity/warrabri/
Yirrkala,NT,1935,1974,MTH – Methodist Overseas Missio,-12.2540706,136.8449607,,https://www.findandconnect.gov.au/entity/yirrkala-mission-2/
Yuendumu,NT,1947,1976,BAP – Australian Baptist Missionary Society,-22.253872,131.754189,,https://www.findandconnect.gov.au/entity/yuendumu-native-settlement/
Aurukun,QLD,1904,1978,MOR – Moravians / PRES – Australian Presbyterian Board of Missions,13.3584°S,141.7280°E,"https://en.wikipedia.org/wiki/Aurukun,_Queensland",https://www.findandconnect.gov.au/entity/aurukun-mission/
Bamaga,QLD,1947,1986,CE – Church of England,10.8879°S,142.3888°E,,
Bethesda,QLD,1866,1889,L – Lutheran Church of Australia,27.7238°S,153.2224°E,,
Bloomfield River (Wujal Wujal),QLD,1886,1902,L – Lutheran Church of Australia,15.9459°S,145.3186°E,https://en.wikipedia.org/wiki/Wujal_Wujal,https://www.findandconnect.gov.au/entity/wujal-wujal-mission/
Bloomfield River (Wujal Wujal),QLD,1957,1987,L – Lutheran Church of Australia,15.9459°S,145.3186°E,https://en.wikipedia.org/wiki/Wujal_Wujal,
Bowen,QLD,1878,1901,CMS – Church Missionary Society,-20.1175164,147.9158586,,
Bribie Island,QLD,1890,1892,,26.965°S,153.125°E,https://en.wikipedia.org/wiki/Bribie_Island,
Cape Bedford Mission,QLD,1886,1896,L – Lutheran Church of Australia,-15.2658434,145.2382956,,https://www.findandconnect.gov.au/entity/cape-bedford-mission/
Cherbourg (Barambah),QLD,1904,1986,CE – Church of England,26.2920°S,151.9543°E,"https://en.wikipedia.org/wiki/Cherbourg,_Queensland",https://www.findandconnect.gov.au/entity/cherbourg-aboriginal-settlement/
Cowal Creek,QLD,1915,1987,CE – Church of England,10.9062°S,142.3255°E,"https://en.wikipedia.org/wiki/Injinoo,_Queensland",
Daintree River,QLD,1926,1962,AOG – Assembly of God,-16.2571086,145.3456417,"https://en.wikipedia.org/wiki/Mossman_Gorge,_Queensland",https://www.findandconnect.gov.au/entity/daintree-river-mission/
Deebing Creek Mission,QLD,1887,1915,,27.6842°S,152.7642°E,https://en.wikipedia.org/wiki/Deebing_Creek_Mission,
Doomadgee,QLD,1932,1983,BR – Brethren,17.9443°S,138.8300°E,"https://en.wikipedia.org/wiki/Doomadgee,_Queensland",https://www.findandconnect.gov.au/entity/doomadgee-mission/
Edward River,QLD,1935,1967,ABM – Australian Board of Mission,14.8979°S,141.6192°E,"https://en.wikipedia.org/wiki/Pormpuraaw,_Queensland",
Elim Aboriginal Mission,QLD,1895,1942,L – Lutheran Church of Australia,15°15′27.4″S,145°18′51″E,"https://en.wikipedia.org/wiki/Hope_Vale,_Queensland#History",https://www.findandconnect.gov.au/entity/cape-bedford-mission/
Fantome Island (Leper Station),QLD,1928,1973,RC – Roman Catholic,18.687°S,146.5159°E,https://en.wikipedia.org/wiki/Fantome_Island_Lock_Hospital_and_Lazaret_Sites,https://www.findandconnect.gov.au/entity/fantome-island-lazaret/
Fraser Island,QLD,1897,1904,ABM – Australian Board of Mission,25.24°S,153.15°E,https://en.wikipedia.org/wiki/K'gari,
Gorge Mission,QLD,1916,1995,AOG – Assembly of God,16.4675°S,145.3519°E,"https://en.wikipedia.org/wiki/Mossman_Gorge,_Queensland",
Hopevale (Cape Bedford),QLD,1886,1986,L – Lutheran Church of Australia,15.2742°S,145.3449°E,"https://en.wikipedia.org/wiki/Hope_Vale,_Queensland#History",https://www.findandconnect.gov.au/entity/hope-vale-mission/
Hull River Aboriginal Mission,QLD,1914,1918,,17°52′10″S,146°06′25″E,https://en.wikipedia.org/wiki/Hull_River_Aboriginal_Settlement,
Kowanyama (Mitchell River),QLD,1904,1987,ABM – Australian Board of Mission,15.4796°S,141.7419°E,"https://en.wikipedia.org/wiki/Kowanyama,_Queensland",https://www.findandconnect.gov.au/entity/kowanyama-mission/
Lockhart River,QLD,1924,1967,ABM – Australian Board of Mission,12°47′11″S,143°20′34″E,"https://en.wikipedia.org/wiki/Lockhart_River,_Queensland#Lockhart_River_Mission_(1924%E2%80%931967)",https://www.findandconnect.gov.au/entity/lockhart-river-mission/
Mackay,QLD,1871,1901,MTH – Methodist Overseas Mission,21.2425°S,149.1452°E,"https://en.wikipedia.org/wiki/Mackay,_Queensland",
Mapoon,QLD,1891,1987,MOR – Moravians / PRES – Australian Presbyterian Board of Missions,12.0190°S,141.9025°E,"https://en.wikipedia.org/wiki/Mapoon,_Queensland",https://www.findandconnect.gov.au/entity/industrial-school-mapoon-mission-station/
Marie Yamba,QLD,1888,1902,L – Lutheran Church of Australia,20°35′48.1″S,148°34′47.66″E,https://en.wikipedia.org/wiki/Marie_Yamba_Aboriginal_Mission,
Maryborough,QLD,,,CMS – Church Missionary Society,,,,
Mona Mona,QLD,1913,1962,ADV – Seventh Day Adventists,16°42′45.8″S,145°32′19″E,https://en.wikipedia.org/wiki/Mona_Mona_Mission,https://www.findandconnect.gov.au/entity/mona-mona-mission/
Moreton Bay,QLD,1837,1845,L – Lutheran Church of Australia / PRES – Australian Presbyterian Board of Missions,-27.4153239,153.191331,https://en.wikipedia.org/wiki/Zion_Hill_Mission,
Moreton Bay,QLD,1837,1846,CMS – Church Missionary Society,-27.4153239,153.191331,https://en.wikipedia.org/wiki/Zion_Hill_Mission,
Mornington Island,QLD,1914,1978,PRES – Australian Presbyterian Board of Missions,16°30′S,139°30′E,https://en.wikipedia.org/wiki/Mornington_Island,https://www.findandconnect.gov.au/entity/mornington-island-mission/
Palm Island (St Michael's School),QLD,1931,1986,RC – Roman Catholic,-18.7335456,146.5754098,https://en.wikipedia.org/wiki/Palm_Island_Aboriginal_Settlement,https://www.findandconnect.gov.au/entity/palm-island-aboriginal-settlement/
Purga,QLD,1915,1948,SAL – Salvation Army,27.6983°S,152.7130°E,"https://en.wikipedia.org/wiki/Purga,_Queensland",https://www.findandconnect.gov.au/entity/industrial-school-purga-mission-station/
Somerset,QLD,1867,1868,SPG – Society for the Propagation of the Gospel (CE – Church of England),10.8202°S,142.5175°E,"https://en.wikipedia.org/wiki/Somerset,_Queensland",
Stewards Creek,QLD,1885,1901,MTH – Methodist Overseas Mission,,,,
Stradbroke Island (Myora Mission),QLD,1843,1847,RC – Roman Catholic,-27.4365956,153.5384906,https://en.wikipedia.org/wiki/Myora_Mission,
Stradbroke Island (Myora Mission),QLD,1892,1943,GOVT – Government–run,-27.4365956,153.5384906,https://en.wikipedia.org/wiki/Myora_Mission,https://www.findandconnect.gov.au/entity/stradbroke-island-lazaret/
Taroom Aboriginal Mission,QLD,1911,1927,GOVT – Government–run,25.5789°S,149.8793°E,https://en.wikipedia.org/wiki/Taroom_Aboriginal_Settlement,
Thursday Island,QLD,1871,1915,LMS – London Missionary Society,142.2205°E,142.2205°E,,
Thursday Island,QLD,,,ABM – Australian Board of Mission,10.585°S,142.2205°E,https://en.wikipedia.org/wiki/Thursday_Island,
