Name,Features,Alternative Name,Wikipedia,Commenced,Opened,Closed,Line Length (km)
WYALKATCHEM MUKINBUDIN RAILWAY,1,,https://en.wikipedia.org/wiki/Wyalkatchem_to_Southern_Cross_railway_line,1906,1910,,253
KINGAROY BRANCH,38,Theebine to Kingaroy,https://en.wikipedia.org/wiki/Nanango_railway_line,1882,1911,2011,
NANANGO BRANCH,14,,https://en.wikipedia.org/wiki/Nanango_railway_line,1882,1911,2011,
MACKAY BRANCH,9,,https://en.wikipedia.org/wiki/Mackay_Railway,1885,1911,2007,68
GOOMALLING WEST MERREDIN RAILWAY,6,,https://en.wikipedia.org/wiki/Goomalling_to_West_Merredin_railway_line,1906,1911,,183
CAIRNS RAILWAY,3,,https://en.wikipedia.org/wiki/Cairns-to-Kuranda_railway_line,1910,1911,1988,
HADEN BRANCH RAILWAY,2,,https://en.wikipedia.org/wiki/Haden_railway_line,1910,1911,1964,33
HURSTBRIDGE LINE,179,,https://en.wikipedia.org/wiki/Hurstbridge_line,1888,1912,,37
DONNYBROOK KATANNING RAILWAY,36,,https://en.wikipedia.org/wiki/Donnybrook_to_Katanning_railway_line,1906,1912,1982,212
THE ROCK OAKLANDS RAILWAY,35,,"https://en.wikipedia.org/wiki/Oaklands_railway_line,_New_South_Wales",1901,1912,,
PANITYA LINE,16,,"https://en.wikipedia.org/wiki/Pinnaroo_railway_line,_Victoria",,1912,2007,
PORT ALMA LINE,2,,"https://en.wikipedia.org/wiki/North_Coast_railway_line,_Queensland",,1912,1990,26
SEAFORD LINE,30,,https://en.wikipedia.org/wiki/Seaford_line,,1913,,36
BRISBANE VALLEY BRANCH,26,Wulkuraka to Yarraman,https://en.wikipedia.org/wiki/Brisbane_Valley_railway_line,1884,1913,1993,161
COOYAR BRANCH RAILWAY,10,Oakey to Cooyar,https://en.wikipedia.org/wiki/Cooyar_railway_line,,1913,1969,63
URANGAN BRANCH,7,Colton to Urangan,https://en.wikipedia.org/wiki/Hervey_Bay_(Urangan)_railway_line,1896,1913,1993,
TAMBELLUP GNOWANGERUP RAILWAY,6,,https://en.wikipedia.org/wiki/Ongerup_railway_line,1911,1913,2007,95
YORK BRUCE ROCK RAILWAY,2,,https://en.wikipedia.org/wiki/York_to_Bruce_Rock_railway_line,1898,1913,,152
WANDOAN BRANCH,14,Miles to Wandoan,https://en.wikipedia.org/wiki/Wandoan_railway_line,1913,1914,,
QUEANBEYAN CANBERRA RAILWAY,11,,https://en.wikipedia.org/wiki/Canberra_railway_station,,1914,,
JANDOWAE BRANCH,9,,https://en.wikipedia.org/wiki/Jandowae_railway_line,,1914,2013,46
TAILEM BEND - LOXTON,8,,https://en.wikipedia.org/wiki/Loxton_railway_line,1913,1914,2015,271
YAAPEET LINE,6,,https://en.wikipedia.org/wiki/Yaapeet_railway_line,1894,1914,,
NARROGIN WEST MERREDIN RAILWAY,5,,https://en.wikipedia.org/wiki/Merredin_to_Narrogin_railway_line,1908,1914,,216
CECIL PLAINS BRANCH RAILWAY,3,,https://en.wikipedia.org/wiki/Cecil_Plains_railway_line,,1914,1994,
MURCHISON COLBINABBIN RAILWAY,2,,https://en.wikipedia.org/wiki/Colbinabbin_railway_line,1890,1914,1987,42
KAROONDA - GALGA,1,,https://en.wikipedia.org/wiki/Waikerie_railway_line,,1914,1994,119
KAROONDA - PEEBINGA,1,,https://en.wikipedia.org/wiki/Peebinga_railway_line,,1914,1990,106
PORT LINCOLN - THEVENARD,19,,https://en.wikipedia.org/wiki/Eyre_Peninsula_Railway,1907,1915,,434
COAST TO VINES RAIL TRAIL,9,,https://en.wikipedia.org/wiki/Coast_to_Vines_Rail_Trail,,1915,1969,45
MARY VALLEY BRANCH RAILWAY,9,,https://en.wikipedia.org/wiki/Mary_Valley_Rattler,1911,1915,1995,
ELMORE-COHUNA,6,,https://en.wikipedia.org/wiki/Cohuna_railway_line,,1915,1986,57
MOUNT MULLIGAN BRANCH,2,,https://en.wikipedia.org/wiki/Tablelands_railway_line,,1915,1958,48
BAIRNSDALE LINE,334,Gippsland line,https://en.wikipedia.org/wiki/Gippsland_line,1887,1916,,277
TABLELANDS SYSTEM,121,Cairns to Forsayth,https://en.wikipedia.org/wiki/Tablelands_railway_line,,1916,2013,
BOGAN GATE TOTTENHAM RAILWAY,50,,https://en.wikipedia.org/wiki/Bogan_Gate%E2%80%93Tottenham_railway_line,1907,1916,,114
GIPPSLAND,11,,https://en.wikipedia.org/wiki/Gippsland_railway_line,1877,1916,,
ATHERTON BRANCH,8,,https://en.wikipedia.org/wiki/Tablelands_railway_line,1903,1916,2013,
BAIRNSDALE TO ORBOST RAILWAY,1,,https://en.wikipedia.org/wiki/Orbost,,1916,1987,
BAIRNSDALE-ORBOST,1,,https://en.wikipedia.org/wiki/Orbost,,1916,1987,
YANAC-JEPARIT,1,,https://en.wikipedia.org/wiki/Yanac_railway_line,1912,1916,1986,
COOTAMUNDRA LAKE CARGELLIGO RAILWAY,119,,https://en.wikipedia.org/wiki/Lake_Cargelligo_railway_line,1913,1917,,70
ADELAIDE - CRYSTAL BROOK,88,,https://en.wikipedia.org/wiki/Adelaide%E2%80%93Port_Augusta_railway_line,1915,1917,,
PORT AUGUSTA - WA BORDER,70,,https://en.wikipedia.org/wiki/Trans-Australian_Railway,1912,1917,,
MOURA SYSTEM,66,Callemondah Yard,https://en.wikipedia.org/wiki/Moura_railway_line,1898,1917,,
MUSWELLBROOK MERRIWA RAILWAY,36,,https://en.wikipedia.org/wiki/Merriwa_railway_line,1915,1917,1987,80
RUSHWORTH-STANHOPE NORTH RAILWAY,23,,https://en.wikipedia.org/wiki/Colbinabbin_railway_line,,1917,1987,
YARAKA BRANCH,23,Jerico to Yaraka,https://en.wikipedia.org/wiki/Blackall_and_Yaraka_Branch_Railways,1908,1917,2005,
MURCHISON-RUSHWORTH RAILWAY,22,,https://en.wikipedia.org/wiki/Colbinabbin_railway_line,,1890,1987,
TRANS AUSTRALIAN RAILWAY,13,,https://en.wikipedia.org/wiki/Trans-Australian_Railway,1912,1917,,
CRYSTAL BROOK SPUR LINE,4,,https://en.wikipedia.org/wiki/Adelaide%E2%80%93Port_Augusta_railway_line,1915,1917,,
KESWICK - CRYSTAL BROOK,3,,https://en.wikipedia.org/wiki/Adelaide%E2%80%93Port_Augusta_railway_line,1915,1917,,
CRYSTAL BROOK GRAIN LOOP,2,,https://en.wikipedia.org/wiki/Adelaide%E2%80%93Port_Augusta_railway_line,1915,1917,,
MILE END - CRYSTAL BROOK,2,,https://en.wikipedia.org/wiki/Adelaide%E2%80%93Port_Augusta_railway_line,1915,1917,,
DAJARRA BRANCH,1,Dutchess to Dajarra,https://en.wikipedia.org/wiki/Dajarra_and_Selwyn_railway_lines,1911,1917,1988,50
STOCKINBINGAL PARKES RAILWAY,108,Forbes Line,https://en.wikipedia.org/wiki/Stockinbingal%E2%80%93Parkes_railway_line,1893,1918,,
PARKES NARROMINE RAILWAY,75,,https://en.wikipedia.org/wiki/Parkes%E2%80%93Narromine_railway_line,1893,1918,,106
DUBBO MERRYGOEN RAILWAY,49,,https://en.wikipedia.org/wiki/Troy_Junction%E2%80%93Merrygoen_railway_line,,1918,,
BOWELLING WAGIN RAILWAY,8,,https://en.wikipedia.org/wiki/Wagin_to_Bowelling_railway_line,1914,1918,1986,
NORTH GEELONG-FYANSFORD,4,,https://www.railgeelong.com/lineguide.php?line=fyansford,,1918,2003,
RATTLER TRAIL,2,,https://en.wikipedia.org/wiki/Spalding_railway_line,,1918,1984,84
APAMURRA LINE,9,,https://en.wikipedia.org/wiki/Sedan_railway_line,,1919,2005,70
APAMURRA - CAMBRAI,1,,https://en.wikipedia.org/wiki/Sedan_railway_line,,1919,1987,
